Date,Home Team,Away Team,Result,Overtime,Season,Time,Home Score,Away Score,home_win_percentage,away_win_percentage,colley_home_rating,colley_away_rating,massey_home_overall_rating,massey_home_offensive_rating,massey_home_defensive_rating,massey_away_overall_rating,massey_away_offensive_rating,massey_away_defensive_rating,od_home_overall_rating,od_home_offensive_rating,od_home_defensive_rating,od_away_overall_rating,od_away_offensive_rating,od_away_defensive_rating,markov_home_rating1,markov_away_rating1,markov_home_rating2,markov_away_rating2,markov_home_rating3,markov_away_rating3
2019-10-26,Houston Rockets,New Orleans Pelicans,126 - 123,,2019-2020,08:00,126,123,0.0,0.0,0.375,0.2867116211779664,,,,,,,111.0,111.0,1.0,173.84218924402262,612.407576125196,3.5227787845305967,0.013333333333333329,0.013333333333333293,0.013333333333333329,0.0133333333333333,0.03333333333333336,0.0356872359748883
2019-10-26,San Antonio Spurs,Washington Wizards,124 - 122,,2019-2020,08:30,124,122,1.0,0.5,0.5918630338733432,0.48078867542972703,,,,,,,242.76340824207324,16.57476683945759,0.06827539191132935,176.29885974220264,370.8802312822396,2.103701815341111,0.04333333333333332,0.017333333333333287,0.0471794871794872,0.018980392156862723,0.025247680686712588,0.03219916510316709
2019-10-26,Utah Jazz,Sacramento Kings,113 - 81,,2019-2020,09:00,113,81,0.5,0.0,0.44432983483821165,0.25,,,,,,,163.260519221784,534.0502664579053,3.2711537915202618,190.22192052479602,206.64978514806432,1.086361574827686,0.017333333333333263,0.013333333333333298,0.015686274509803852,0.01333333333333331,0.031757536653856895,0.03286432159862027
2019-10-26,Phoenix Suns,Los Angeles Clippers,130 - 122,,2019-2020,10:00,130,122,0.5,1.0,0.5,0.739829012305235,,,,,,,241.17577123299372,231.2563240124881,0.9588704654294535,194.03303273618465,2325.3782544742053,11.984445234311654,0.017333333333333287,0.0889333333333333,0.019282051282051252,0.08745098039215679,0.03375641255655149,0.040905550303170043
2019-10-27,Oklahoma City Thunder,Golden State Warriors,120 - 92,,2019-2020,03:30,120,92,0.0,0.0,0.22635580450753767,0.36755034036639883,-14.240031897926624,35.65769678960318,-49.8977286875298,-23.13476874003189,55.656419579003966,-78.79118831903585,260.68605513449864,21.98282058803631,0.0843267990560311,291.4313938635518,5.133332778138944,0.017614206589364117,0.01333333333333333,0.013333333333333225,0.0133333333333333,0.013333333333333251,0.0271379693073051,0.02281094339291091
2019-10-27,Memphis Grizzlies,Brooklyn Nets,134 - 133,OT,2019-2020,06:00,134,133,0.0,0.5,0.2672066237111437,0.5039012276251333,-20.906698564593285,40.069040969063145,-60.97573953365643,-0.9976076555023854,72.57318653303541,-73.5707941885378,223.35870921199069,120.6846238885727,0.54031752025407,283.33658231646785,85.87195939097855,0.30307402838319464,0.013333333333333358,0.016000000000000122,0.013333333333333346,0.014222222222222339,0.028849347774611452,0.03144343215907135
2019-10-27,Dallas Mavericks,Portland Trail Blazers,119 - 121,,2019-2020,07:00,119,121,1.0,0.5,0.6597801489329324,0.501004709244617,4.7902711323764064,50.47560650371835,-45.68533537134195,-19.55582137161084,56.5506774671346,-76.10649883874544,300.31369965473243,38.77784847133826,0.12912447389486645,241.881161329515,211.46821263798716,0.8742649137106786,0.05299999999999987,0.016000000000000007,0.06388758169934607,0.014460093896713605,0.029175307322236287,0.029310871430710712
2019-10-27,Minnesota Timberwolves,Miami Heat,116 - 109,,2019-2020,07:00,116,109,1.0,1.0,0.7589184878726194,0.7006540872558167,2.305422647527918,49.81569891669627,-47.51027626916835,1.2751196172249017,61.45983580552277,-60.18471618829787,258.09993814273093,692.0711183960748,2.6814075329741263,266.8101665508877,308.2552765575116,1.1553355726372565,0.08513333333333394,0.07773333333333353,0.07523200000000053,0.0806074074074072,0.0323690449773781,0.0331907271419728
2019-10-27,Los Angeles Lakers,Charlotte Hornets,120 - 101,,2019-2020,09:30,120,101,0.5,0.5,0.52437079351405,0.5317727238653444,-7.18740031897926,37.39358098691694,-44.580981305896195,-17.391547049441776,57.40626092862791,-74.79780797806968,309.077377693026,15.155067585423936,0.04903324759172724,235.35444163903148,81.5414348117967,0.34646227300379007,0.025333333333333166,0.018533333333333415,0.024908478320905682,0.013710222222222294,0.028799072042031495,0.030100145369241965
2019-10-28,New York Knicks,Chicago Bulls,105 - 98,,2019-2020,07:00,105,98,0.0,0.3333333333333333,0.2291887348779095,0.3746648364703276,-12.141733487323327,34.97289173548525,-47.11462522280858,-16.54372435791674,44.52046648667411,-61.064190844590854,274.4075443492641,316.41405641225674,1.1530807476981282,264.5939589250133,330.0791766126682,1.247493245702611,0.013333333333333364,0.018773333333333315,0.013333333333333296,0.016462222222222163,0.03431369033213224,0.031660317439644765
