index,Date,Home Team,Away Team,Result,Overtime,Season,Time,Home Score,Away Score,home_win_percentage,away_win_percentage,colley_home_rating,colley_away_rating,massey_home_overall_rating,massey_home_offensive_rating,massey_home_defensive_rating,massey_away_overall_rating,massey_away_offensive_rating,massey_away_defensive_rating,od_home_overall_rating,od_home_offensive_rating,od_home_defensive_rating,od_away_overall_rating,od_away_offensive_rating,od_away_defensive_rating,markov_home_rating1,markov_away_rating1,markov_home_rating2,markov_away_rating2,markov_home_rating3,markov_away_rating3
32,2018-10-20,Denver Nuggets,Phoenix Suns,119 - 91,,2018-2019,09:00,119,91,0.5662650602409639,0.26506024096385544,0.5647841066958426,0.2829191160181699,1.6533693254284911,57.01079263513517,-55.357423309706675,-8.488630870512461,51.3429647203767,-59.83159559088916,9039.988777519351,9145.156523402284,1.0116336146505474,8240.016872255519,8679.86361356246,1.053379349596713,0.03620157503914406,0.021839459057086445,0.0371492300458706,0.020931101468956884,0.033853561305379545,0.032829454006655455
33,2018-10-20,Portland Trail Blazers,San Antonio Spurs,121 - 108,,2018-2019,10:00,121,108,0.6024096385542169,0.5783132530120482,0.5991698749622352,0.5771684021724287,2.6599722514894983,52.48394962675939,-49.82397737526989,2.927912156459813,49.37886443900151,-46.4509522825417,9136.18692385397,8774.144682802875,0.9603727195964187,9168.827479509084,8518.535685028373,0.9290757955764778,0.036497430205059335,0.03599060314280916,0.033912502155045536,0.036163954139964614,0.03305513992635634,0.03248476206479604
34,2018-10-20,Los Angeles Lakers,Houston Rockets,115 - 124,,2018-2019,10:30,115,124,0.42168674698795183,0.7831325301204819,0.4286447646845937,0.7677653376982033,-1.4951479941680674,55.096613329060766,-56.59176132322883,7.920842603937662,59.044265612747274,-51.12342300880961,8789.637125655345,8992.518863950725,1.0230819242472713,9589.013044765352,9320.073323137223,0.9719533469844487,0.029103039251878113,0.04533164611965945,0.02835403087597032,0.05041656858931967,0.033530073755535746,0.0342533949641076
35,2018-10-21,Cleveland Cavaliers,Atlanta Hawks,111 - 133,,2018-2019,06:00,111,133,0.5952380952380952,0.2857142857142857,0.5837465138473757,0.29308628146759935,0.45843493638506577,57.690283525533154,-57.231848589148086,-5.659983358810719,50.42972753579536,-56.08971089460608,9022.579233147082,9310.832716953617,1.0319480135732753,8519.971174507307,8702.854901515777,1.0214652987976858,0.036225203412292156,0.024582035342243846,0.03437325099701521,0.02199117774681745,0.03404609674338961,0.03270725558768361
36,2018-10-21,Oklahoma City Thunder,Sacramento Kings,120 - 131,,2018-2019,07:00,120,131,0.5714285714285714,0.32142857142857145,0.5718956981703348,0.33760523119644575,3.135340149282981,54.360031170359065,-51.22469102107608,-6.661458907476728,46.102031184458276,-52.763490091935005,9254.601353485306,9047.755148007878,0.9776493662366634,8414.633145544698,8354.541753350715,0.9928587032667254,0.03895730897758006,0.027225473001726955,0.042169404663720864,0.022193283119100796,0.03347663955676079,0.031983038469624796
37,2018-10-21,Denver Nuggets,Golden State Warriors,100 - 98,,2018-2019,08:00,100,98,0.5714285714285714,0.7142857142857143,0.5671919255971168,0.7038382879771086,1.856480695236063,56.983614638868325,-55.12713394363226,5.848142210431554,60.422362600243964,-54.57422038981241,9136.338683427723,9262.291285597168,1.0137858946054517,9465.827772036315,9554.194629251664,1.0093353544289492,0.036267515419314625,0.04287727382821157,0.037435272841012945,0.048735113736346015,0.03392783426875998,0.034565112487972546
38,2018-10-21,Los Angeles Clippers,Houston Rockets,115 - 112,,2018-2019,09:00,115,112,0.5119047619047619,0.7857142857142857,0.516968811619054,0.769510469304001,0.287746779709093,55.65126887338882,-55.36352209367973,7.913941347164495,59.100406876490794,-51.1864655293263,9005.418670655738,9155.650801464846,1.0166824149218783,9669.487857725122,9443.951419914156,0.9766754515720519,0.034513158351264665,0.045445435932658776,0.034951152314218734,0.05051506273904954,0.033717982967515714,0.03434834455079525
39,2018-10-22,Boston Celtics,Orlando Magic,90 - 93,,2018-2019,07:30,90,93,0.6705882352941176,0.3058823529411765,0.6567560744031771,0.3106907545437405,3.3115807882788624,50.37744462967257,-47.06586384139371,-5.036160588667036,50.06227537290549,-55.09843596157253,9310.055746187705,8810.689468868477,0.9463626973959087,8594.285315825438,8778.700315211703,1.0214578632904687,0.040641789163870776,0.024646137226188303,0.03587739157502382,0.024667704771609775,0.032892917710885414,0.032823452273182584
40,2018-10-22,Toronto Raptors,Charlotte Hornets,127 - 106,,2018-2019,07:30,127,106,0.7294117647058823,0.4470588235294118,0.7130744718376315,0.44385417906582225,7.414026079533183,58.41847332469531,-51.004447245162126,0.37420847332058116,55.21497620634358,-54.840767733023,9657.122042333584,9488.347259335604,0.9825232836182324,9038.146604149682,9217.81565754205,1.0198789709064773,0.04288792634398086,0.028452055422117442,0.04874437316144881,0.03126066034255649,0.03435920796065787,0.033740852245736204
41,2018-10-22,Milwaukee Bucks,New York Knicks,124 - 113,,2018-2019,08:00,124,113,0.5476190476190477,0.35294117647058826,0.5414369981357392,0.3573462890818463,-0.21317747506795007,53.403811863269404,-53.616989338337355,-3.3066419264256917,51.38903525881897,-54.69567718524466,8999.71804054353,8953.510500859777,0.994865668071423,8738.30469887734,8891.628111202668,1.017546127951458,0.03420146010591064,0.02687856086813988,0.029836956334148842,0.028030556838866322,0.033200988826608435,0.033067990698607434
42,2018-10-22,Minnesota Timberwolves,Indiana Pacers,101 - 91,,2018-2019,08:00,101,91,0.5647058823529412,0.5882352941176471,0.56560191875884,0.5764833861730739,2.269178312584746,56.864456898222784,-54.59527858563804,1.3777522685139958,52.440079177140944,-51.06232690862695,9199.664025905326,9366.325828600218,1.0181160749159524,9125.359954942369,8980.116009032363,0.984083483103443,0.03667022957530828,0.03635748708533158,0.03593431588645229,0.03355068123265595,0.03411207492678861,0.03324030730226778
43,2018-10-22,Dallas Mavericks,Chicago Bulls,115 - 109,,2018-2019,08:30,115,109,0.2976190476190476,0.32142857142857145,0.3139929859285212,0.3323008726778724,-2.9111509732369463,49.36748416878305,-52.27863514201999,-6.873804597296122,50.102552238136745,-56.97635683543287,8768.97822036724,8625.91944234474,0.9836858098597823,8454.65955963132,8677.157701309872,1.0263166293224768,0.02590462647155372,0.024146496973220688,0.02675996743033364,0.02159414799685366,0.03250989031748157,0.03259885454383971
44,2018-10-22,Utah Jazz,Memphis Grizzlies,84 - 92,,2018-2019,09:00,84,92,0.5833333333333334,0.27380952380952384,0.5897700818145225,0.2899261718153728,4.423353146844202,51.067028256827705,-46.643675109983505,-5.884367932027422,46.18099768095953,-52.06536561298695,9412.151431620876,8765.061713699226,0.9312495424002953,8504.635184647666,8354.970737996233,0.9824020145012682,0.03769800611329596,0.026495826586489836,0.049187332115781954,0.02387026897421471,0.032827509152079486,0.03191126275929552
45,2018-10-22,Portland Trail Blazers,Washington Wizards,124 - 125,OT,2018-2019,10:00,124,125,0.6071428571428571,0.5119047619047619,0.6044693746190473,0.5133418661312287,2.810454530733165,52.699275327277725,-49.88882079654456,0.5444018776556684,53.56131906601372,-53.01691718835806,9260.30999107102,8904.87587230353,0.9616174707855129,9060.93760110199,8969.54422749105,0.989913475002871,0.03672695992190009,0.0360173365868173,0.03453861252210256,0.036103446507409986,0.033097503937110646,0.03324587782278455
46,2018-10-22,Golden State Warriors,Phoenix Suns,123 - 103,,2018-2019,10:30,123,103,0.7058823529411765,0.2619047619047619,0.696920128527584,0.2805871597384082,5.780342947116404,60.19780760107636,-54.41746465395996,-8.688904689085266,51.10605718859678,-59.79496187768205,9493.20636667456,9649.377034683328,1.0164507819567683,8323.70328220426,8768.229697893372,1.0534048848953435,0.04271529779970514,0.02177008813129027,0.048521079959871906,0.020870415208984014,0.034708193349243036,0.03279810475081709
