Date,Home Team,Away Team,Result,Overtime,Season
06/11/2015 09:30,Phoenix Suns,Detroit Pistons,92 - 100,,2015-2016
06/11/2015 10:30,Golden State Warriors,Denver Nuggets,119 - 104,,2015-2016
06/11/2015 10:30,Sacramento Kings,Houston Rockets,110 - 116,,2015-2016
07/11/2015 06:00,Chicago Bulls,Minnesota Timberwolves,93 - 102,OT,2015-2016
07/11/2015 07:00,Philadelphia 76ers,Orlando Magic,97 - 105,,2015-2016
07/11/2015 07:30,Atlanta Hawks,Washington Wizards,114 - 99,,2015-2016
07/11/2015 08:30,Dallas Mavericks,New Orleans Pelicans,107 - 98,,2015-2016
07/11/2015 08:30,Milwaukee Bucks,Brooklyn Nets,94 - 86,,2015-2016
07/11/2015 08:30,San Antonio Spurs,Charlotte Hornets,114 - 94,,2015-2016
07/11/2015 09:00,Utah Jazz,Memphis Grizzlies,89 - 79,,2015-2016
07/11/2015 10:00,Sacramento Kings,Golden State Warriors,94 - 103,,2015-2016
07/11/2015 10:30,Los Angeles Clippers,Houston Rockets,105 - 109,,2015-2016
08/11/2015 03:30,Cleveland Cavaliers,Indiana Pacers,101 - 97,,2015-2016
08/11/2015 03:30,New York Knicks,Los Angeles Lakers,99 - 95,,2015-2016
08/11/2015 06:00,Miami Heat,Toronto Raptors,96 - 76,,2015-2016
08/11/2015 07:00,Oklahoma City Thunder,Phoenix Suns,124 - 103,,2015-2016
08/11/2015 09:00,Portland Trail Blazers,Detroit Pistons,103 - 120,,2015-2016
09/11/2015 07:00,Indiana Pacers,Orlando Magic,97 - 84,,2015-2016
09/11/2015 07:00,Philadelphia 76ers,Chicago Bulls,88 - 111,,2015-2016
09/11/2015 08:00,Atlanta Hawks,Minnesota Timberwolves,107 - 117,,2015-2016
09/11/2015 09:00,Denver Nuggets,Portland Trail Blazers,108 - 104,,2015-2016
09/11/2015 10:00,Sacramento Kings,San Antonio Spurs,88 - 106,,2015-2016
09/11/2015 10:30,Golden State Warriors,Detroit Pistons,109 - 95,,2015-2016
09/11/2015 10:30,Los Angeles Clippers,Memphis Grizzlies,94 - 92,,2015-2016
10/11/2015 07:00,Cleveland Cavaliers,Utah Jazz,118 - 114,,2015-2016
10/11/2015 07:00,Washington Wizards,Oklahoma City Thunder,101 - 125,,2015-2016
10/11/2015 07:30,Miami Heat,Los Angeles Lakers,101 - 88,,2015-2016
10/11/2015 07:30,Toronto Raptors,New York Knicks,109 - 111,,2015-2016
10/11/2015 08:00,Milwaukee Bucks,Boston Celtics,83 - 99,,2015-2016
10/11/2015 08:00,Minnesota Timberwolves,Charlotte Hornets,95 - 104,,2015-2016
10/11/2015 08:00,New Orleans Pelicans,Dallas Mavericks,120 - 105,,2015-2016
11/11/2015 07:00,Charlotte Hornets,New York Knicks,95 - 93,,2015-2016
11/11/2015 07:00,Orlando Magic,Los Angeles Lakers,101 - 99,,2015-2016
11/11/2015 07:00,Philadelphia 76ers,Toronto Raptors,103 - 119,,2015-2016
11/11/2015 07:30,Boston Celtics,Indiana Pacers,91 - 102,,2015-2016
11/11/2015 08:00,Atlanta Hawks,New Orleans Pelicans,106 - 98,,2015-2016
11/11/2015 08:00,Dallas Mavericks,Los Angeles Clippers,118 - 108,,2015-2016
11/11/2015 08:00,Houston Rockets,Brooklyn Nets,98 - 106,,2015-2016
11/11/2015 08:00,Memphis Grizzlies,Golden State Warriors,84 - 100,,2015-2016
11/11/2015 09:00,Denver Nuggets,Milwaukee Bucks,103 - 102,,2015-2016
11/11/2015 10:00,Sacramento Kings,Detroit Pistons,101 - 92,,2015-2016
11/11/2015 10:30,Portland Trail Blazers,San Antonio Spurs,101 - 113,,2015-2016
12/11/2015 07:30,Miami Heat,Utah Jazz,92 - 91,,2015-2016
12/11/2015 08:00,Minnesota Timberwolves,Golden State Warriors,116 - 129,,2015-2016
12/11/2015 10:30,Phoenix Suns,Los Angeles Clippers,118 - 104,,2015-2016
13/11/2015 07:00,Indiana Pacers,Minnesota Timberwolves,107 - 103,,2015-2016
13/11/2015 07:00,Orlando Magic,Utah Jazz,102 - 93,,2015-2016
13/11/2015 07:30,Boston Celtics,Atlanta Hawks,106 - 93,,2015-2016
13/11/2015 07:30,New York Knicks,Cleveland Cavaliers,84 - 90,,2015-2016
13/11/2015 07:30,Toronto Raptors,New Orleans Pelicans,100 - 81,,2015-2016
13/11/2015 08:00,Chicago Bulls,Charlotte Hornets,102 - 97,,2015-2016
13/11/2015 08:00,Memphis Grizzlies,Portland Trail Blazers,101 - 100,,2015-2016
13/11/2015 08:00,Oklahoma City Thunder,Philadelphia 76ers,102 - 85,,2015-2016
13/11/2015 08:30,Dallas Mavericks,Los Angeles Lakers,90 - 82,,2015-2016
13/11/2015 09:00,Denver Nuggets,Houston Rockets,107 - 98,,2015-2016
13/11/2015 10:00,Sacramento Kings,Brooklyn Nets,111 - 109,,2015-2016
14/11/2015 03:30,Los Angeles Clippers,Detroit Pistons,101 - 96,,2015-2016
14/11/2015 07:00,Washington Wizards,Orlando Magic,108 - 99,,2015-2016
14/11/2015 08:00,Houston Rockets,Dallas Mavericks,98 - 110,,2015-2016
14/11/2015 08:30,Milwaukee Bucks,Cleveland Cavaliers,108 - 105,2OT,2015-2016
14/11/2015 08:30,San Antonio Spurs,Philadelphia 76ers,92 - 83,,2015-2016
14/11/2015 09:00,Phoenix Suns,Denver Nuggets,105 - 81,,2015-2016
14/11/2015 10:30,Golden State Warriors,Brooklyn Nets,107 - 99,OT,2015-2016
15/11/2015 12:00,New York Knicks,New Orleans Pelicans,95 - 87,,2015-2016
15/11/2015 03:30,Minnesota Timberwolves,Memphis Grizzlies,106 - 114,,2015-2016
15/11/2015 05:00,Charlotte Hornets,Portland Trail Blazers,106 - 94,,2015-2016
15/11/2015 06:00,Atlanta Hawks,Utah Jazz,96 - 97,,2015-2016
15/11/2015 07:00,Oklahoma City Thunder,Boston Celtics,85 - 100,,2015-2016
15/11/2015 09:00,Sacramento Kings,Toronto Raptors,107 - 101,,2015-2016
15/11/2015 09:30,Los Angeles Lakers,Detroit Pistons,97 - 85,,2015-2016
16/11/2015 07:00,Philadelphia 76ers,Dallas Mavericks,86 - 92,,2015-2016
16/11/2015 08:00,Chicago Bulls,Indiana Pacers,96 - 95,,2015-2016
16/11/2015 08:00,Houston Rockets,Boston Celtics,95 - 111,,2015-2016
16/11/2015 08:00,Memphis Grizzlies,Oklahoma City Thunder,122 - 114,,2015-2016
16/11/2015 08:30,San Antonio Spurs,Portland Trail Blazers,93 - 80,,2015-2016
16/11/2015 09:00,Phoenix Suns,Los Angeles Lakers,120 - 101,,2015-2016
17/11/2015 07:00,Washington Wizards,Milwaukee Bucks,115 - 86,,2015-2016
17/11/2015 07:30,Brooklyn Nets,Atlanta Hawks,90 - 88,,2015-2016
17/11/2015 07:30,Detroit Pistons,Cleveland Cavaliers,104 - 99,,2015-2016
17/11/2015 07:30,Miami Heat,Minnesota Timberwolves,91 - 103,,2015-2016
17/11/2015 07:30,New York Knicks,Charlotte Hornets,102 - 94,,2015-2016
17/11/2015 08:00,New Orleans Pelicans,Denver Nuggets,98 - 115,,2015-2016
17/11/2015 10:30,Golden State Warriors,Toronto Raptors,115 - 110,,2015-2016
18/11/2015 07:00,Charlotte Hornets,Brooklyn Nets,116 - 111,,2015-2016
18/11/2015 07:00,Orlando Magic,Minnesota Timberwolves,104 - 101,OT,2015-2016
18/11/2015 07:00,Philadelphia 76ers,Indiana Pacers,85 - 112,,2015-2016
18/11/2015 07:30,Boston Celtics,Dallas Mavericks,102 - 106,,2015-2016
18/11/2015 08:00,Atlanta Hawks,Sacramento Kings,103 - 97,,2015-2016
18/11/2015 08:00,Houston Rockets,Portland Trail Blazers,108 - 103,OT,2015-2016
18/11/2015 08:00,Oklahoma City Thunder,New Orleans Pelicans,110 - 103,,2015-2016
18/11/2015 08:30,San Antonio Spurs,Denver Nuggets,109 - 98,,2015-2016
18/11/2015 09:00,Utah Jazz,Toronto Raptors,93 - 89,,2015-2016
18/11/2015 10:30,Phoenix Suns,Chicago Bulls,97 - 103,,2015-2016
19/11/2015 07:30,Miami Heat,Sacramento Kings,116 - 109,,2015-2016
19/11/2015 08:00,Cleveland Cavaliers,Milwaukee Bucks,115 - 100,,2015-2016
19/11/2015 10:30,Los Angeles Clippers,Golden State Warriors,117 - 124,,2015-2016
20/11/2015 07:00,Charlotte Hornets,Philadelphia 76ers,113 - 88,,2015-2016
20/11/2015 07:30,Boston Celtics,Brooklyn Nets,120 - 95,,2015-2016
20/11/2015 08:00,Memphis Grizzlies,Houston Rockets,96 - 84,,2015-2016
20/11/2015 08:00,Minnesota Timberwolves,Detroit Pistons,86 - 96,,2015-2016
20/11/2015 08:00,New Orleans Pelicans,San Antonio Spurs,104 - 90,,2015-2016
20/11/2015 08:00,Oklahoma City Thunder,New York Knicks,90 - 93,,2015-2016
20/11/2015 08:30,Dallas Mavericks,Utah Jazz,102 - 93,,2015-2016
20/11/2015 09:00,Denver Nuggets,Phoenix Suns,107 - 114,,2015-2016
20/11/2015 10:00,Portland Trail Blazers,Los Angeles Clippers,102 - 91,,2015-2016
20/11/2015 10:30,Golden State Warriors,Chicago Bulls,106 - 94,,2015-2016
20/11/2015 10:30,Los Angeles Lakers,Toronto Raptors,91 - 102,,2015-2016
21/11/2015 05:00,Orlando Magic,Sacramento Kings,91 - 97,,2015-2016
