,2007-2008,2008-2009,2009-2010,2010-2011,2011-2012,2012-2013,2013-2014,2014-2015,2015-2016,2016-2017,2017-2018,2018-2019,2019-2020
316,0.5993690851735016,0.7034700315457413,0.7097791798107256,0.6656151419558359,0.7003154574132492,0.7003154574132492,0.6529968454258676,0.6719242902208202,0.6593059936908517,0.6624605678233438,0.61198738170347,0.6309148264984227,0.6719242902208202
317,0.60062893081761,0.7044025157232704,0.710691823899371,0.6666666666666666,0.7012578616352201,0.7012578616352201,0.6540880503144654,0.6729559748427673,0.6572327044025157,0.6635220125786163,0.6132075471698113,0.6320754716981132,0.6698113207547169
318,0.5987460815047022,0.7053291536050157,0.7084639498432602,0.6677115987460815,0.6990595611285266,0.7021943573667712,0.6551724137931034,0.6739811912225705,0.658307210031348,0.664576802507837,0.6144200626959248,0.6332288401253918,0.6677115987460815
319,0.6,0.70625,0.709375,0.66875,0.696875,0.7,0.65625,0.675,0.659375,0.665625,0.615625,0.63125,0.66875
320,0.5981308411214953,0.7071651090342679,0.7102803738317757,0.6697819314641744,0.6947040498442367,0.6978193146417445,0.6573208722741433,0.67601246105919,0.660436137071651,0.6666666666666666,0.616822429906542,0.632398753894081,0.6697819314641744
321,0.5993788819875776,0.7080745341614907,0.7111801242236024,0.6677018633540373,0.6925465838509317,0.6987577639751553,0.6583850931677019,0.6739130434782609,0.6583850931677019,0.6677018633540373,0.6180124223602484,0.6335403726708074,0.6677018633540373
322,0.6006191950464397,0.7089783281733746,0.7089783281733746,0.6656346749226006,0.6934984520123839,0.6996904024767802,0.6594427244582043,0.6749226006191951,0.6563467492260062,0.6656346749226006,0.6191950464396285,0.631578947368421,0.6687306501547987
323,0.6018518518518519,0.7098765432098766,0.7098765432098766,0.6666666666666666,0.6944444444444444,0.6975308641975309,0.6574074074074074,0.6728395061728395,0.6574074074074074,0.6666666666666666,0.6203703703703703,0.6296296296296297,0.6697530864197531
324,0.6,0.7107692307692308,0.7107692307692308,0.6676923076923077,0.6923076923076923,0.6984615384615385,0.6584615384615384,0.6738461538461539,0.6584615384615384,0.6676923076923077,0.6215384615384615,0.6307692307692307,0.6707692307692308
325,0.598159509202454,0.7116564417177914,0.7085889570552147,0.6687116564417178,0.6901840490797546,0.6993865030674846,0.656441717791411,0.6748466257668712,0.6595092024539877,0.6687116564417178,0.6226993865030674,0.6319018404907976,0.6717791411042945
326,0.5963302752293578,0.709480122324159,0.7064220183486238,0.6697247706422018,0.691131498470948,0.6972477064220184,0.6574923547400612,0.6758409785932722,0.6605504587155964,0.6666666666666666,0.6207951070336392,0.6330275229357798,0.672782874617737
327,0.5945121951219512,0.7073170731707317,0.7073170731707317,0.6676829268292683,0.6920731707317073,0.698170731707317,0.6585365853658537,0.6737804878048781,0.6615853658536586,0.6676829268292683,0.6219512195121951,0.6341463414634146,0.6737804878048781
328,0.5957446808510638,0.7082066869300911,0.7082066869300911,0.668693009118541,0.6899696048632219,0.6990881458966566,0.6565349544072948,0.6717325227963525,0.662613981762918,0.6656534954407295,0.6231003039513677,0.6322188449848024,0.6717325227963525
329,0.5969696969696969,0.7090909090909091,0.7090909090909091,0.6696969696969697,0.6909090909090909,0.7,0.6575757575757576,0.6727272727272727,0.6636363636363637,0.6666666666666666,0.6242424242424243,0.6303030303030303,0.6727272727272727
330,0.5981873111782477,0.7069486404833837,0.7069486404833837,0.6706948640483383,0.6888217522658611,0.7009063444108762,0.6586102719033232,0.6706948640483383,0.6646525679758308,0.6676737160120846,0.6253776435045317,0.6283987915407855,0.6737160120845922
331,0.5993975903614458,0.7078313253012049,0.7078313253012049,0.6716867469879518,0.6897590361445783,0.7018072289156626,0.6596385542168675,0.6716867469879518,0.6656626506024096,0.6686746987951807,0.6265060240963856,0.6295180722891566,0.6746987951807228
332,0.5975975975975976,0.7087087087087087,0.7087087087087087,0.6726726726726727,0.6876876876876877,0.7027027027027027,0.6606606606606606,0.6726726726726727,0.6666666666666666,0.6666666666666666,0.6246246246246246,0.6306306306306306,0.6756756756756757
