Date,Home Team,Away Team,Result,Overtime,Season
16/11/2005 10:30,Golden State Warriors,Milwaukee Bucks,87 - 90,,2005-2006
17/11/2005 07:00,Minnesota Timberwolves,Washington Wizards,109 - 98,,2005-2006
17/11/2005 08:30,Dallas Mavericks,Atlanta Hawks,87 - 78,,2005-2006
17/11/2005 09:30,San Antonio Spurs,Houston Rockets,86 - 80,,2005-2006
18/11/2005 07:00,Cleveland Cavaliers,Orlando Magic,102 - 84,,2005-2006
18/11/2005 07:00,Indiana Pacers,Charlotte Bobcats,93 - 85,,2005-2006
18/11/2005 07:30,Boston Celtics,Toronto Raptors,100 - 93,,2005-2006
18/11/2005 07:30,Miami Heat,Philadelphia 76ers,106 - 96,,2005-2006
18/11/2005 08:00,New Orleans/Oklahoma City Hornets,Atlanta Hawks,95 - 92,,2005-2006
18/11/2005 09:00,Denver Nuggets,New York Knicks,95 - 86,,2005-2006
18/11/2005 09:00,Phoenix Suns,Utah Jazz,102 - 94,,2005-2006
18/11/2005 09:30,Houston Rockets,Detroit Pistons,70 - 78,,2005-2006
18/11/2005 10:00,Portland Trail Blazers,Golden State Warriors,80 - 91,,2005-2006
18/11/2005 10:00,Sacramento Kings,Milwaukee Bucks,103 - 82,,2005-2006
18/11/2005 10:30,Los Angeles Lakers,Los Angeles Clippers,91 - 97,,2005-2006
18/11/2005 10:30,Seattle SuperSonics,Chicago Bulls,98 - 84,,2005-2006
19/11/2005 07:00,Orlando Magic,New Orleans/Oklahoma City Hornets,95 - 98,,2005-2006
19/11/2005 07:00,Philadelphia 76ers,Cleveland Cavaliers,120 - 123,,2005-2006
19/11/2005 07:30,New Jersey Nets,Washington Wizards,89 - 83,,2005-2006
19/11/2005 08:00,Minnesota Timberwolves,Charlotte Bobcats,102 - 89,,2005-2006
19/11/2005 08:30,Dallas Mavericks,Detroit Pistons,119 - 82,,2005-2006
19/11/2005 08:30,San Antonio Spurs,Phoenix Suns,97 - 91,,2005-2006
19/11/2005 09:00,Utah Jazz,Memphis Grizzlies,72 - 80,,2005-2006
20/11/2005 12:00,New York Knicks,Portland Trail Blazers,103 - 92,,2005-2006
20/11/2005 01:00,Toronto Raptors,Miami Heat,107 - 94,,2005-2006
20/11/2005 03:30,Los Angeles Clippers,Golden State Warriors,113 - 101,,2005-2006
20/11/2005 07:00,Indiana Pacers,Houston Rockets,85 - 74,,2005-2006
20/11/2005 09:00,Denver Nuggets,Memphis Grizzlies,99 - 83,,2005-2006
20/11/2005 09:00,Seattle SuperSonics,Sacramento Kings,106 - 104,,2005-2006
